price,spec_rating,display_size,warranty,resolution_area,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Infinix,brand_Lenovo,brand_MSI,brand_Others,brand_Samsung,name,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,OS
37990,60.0,14.0,1,2073600,1,0,0,0,0,0,0,0,0,0,441,18,28,1,2,5,1,123,12
30990,69.32352941,14.0,1,2073600,0,0,1,0,0,0,0,0,0,0,665,15,17,6,2,5,1,108,12
92990,71.0,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,167,62,2,1,4,5,1,50,12
42990,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,42,34,18,6,2,5,1,126,12
59089,72.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,540,26,19,1,2,5,1,31,12
72999,72.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,631,40,22,1,2,5,1,33,12
126742,77.0,16.1,1,3686400,0,0,0,0,1,0,0,0,0,0,419,120,24,1,4,1,1,61,12
126990,69.32352941,15.3,1,5368320,0,1,0,0,0,0,0,0,0,0,375,164,21,6,2,2,1,1,7
49990,69.32352941,15.6,1,2073600,0,0,0,0,0,0,0,0,0,1,196,37,1,6,5,5,1,112,12
74390,62.0,14.0,1,2073600,0,0,0,1,0,0,0,0,0,0,318,39,6,1,4,5,1,112,12
52990,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,298,37,1,6,2,5,1,126,12
60990,67.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,247,20,28,6,2,5,1,36,12
98174,80.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,418,120,24,1,4,5,1,58,12
18990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,1,0,0,0,143,157,16,6,2,2,1,80,12
38990,60.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,672,23,28,6,2,5,1,111,12
41950,64.0,14.0,1,2073600,0,0,0,0,1,0,0,0,0,0,8,97,19,6,2,5,1,79,12
46990,65.0,15.6,1,6400000,0,0,0,0,0,0,0,0,1,0,392,21,28,1,2,5,1,123,9
9999,69.32352941,11.6,1,1049088,0,0,0,0,0,0,0,0,1,0,155,170,26,2,1,4,0,101,10
40990,69.32352941,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,687,35,1,6,2,5,1,126,12
74990,67.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,261,122,24,6,2,5,1,33,12
33990,65.0,15.6,1,2073600,0,0,0,0,0,0,0,0,1,0,796,34,18,6,2,5,1,102,12
39990,66.0,15.6,1,2073600,0,0,0,0,0,0,0,0,1,0,487,37,1,6,2,5,1,102,12
10990,69.32352941,11.6,1,1049088,0,0,1,0,0,0,0,0,0,0,123,171,16,4,5,4,0,128,1
88990,75.0,15.6,2,2073600,0,0,0,0,0,0,0,1,0,0,342,63,6,3,4,1,1,50,12
54990,62.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,46,37,1,6,2,5,1,112,12
49990,70.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,567,135,24,6,2,5,1,79,12
